;;;;;;
;;;;;;
;SS;;;;;
52,;903.119;;;;;
53,;931.088;;;;;
54,;946.624;;;;;
55,;950.415;;;;;
56,;954.937;;;;;
57,;957.974;;;;;
58,;960.846;;;;;
59,;963.431;;;;;
60,;966.186;;;;;
61,;967.128;;;;;
62,;965.264;;;;;
63,;966.694;;;;;
64,;968.988;;;;;
65,;970.539;;;;;
66,;969.8;;;;;
67,;968.925;;;;;
68,;968.288;;;;;
69,;968.339;;;;;
70,;971.018;;;;;
71,;973.805;;;;;
72,;978.32;;;;;
73,;979.821;;;;;
74,;976.154;;;;;
75,;974.781;;;;;
76,;973.986;;;;;
77,;972.857;;;;;
78,;969.47;;;;;
79,;966.48;;;;;
80,;963.182;;;;;
81,;963.106;;;;;
82,;961.571;;;;;
83,;959.921;;;;;
84,;957.608;;;;;
85,;958.619;;;;;
86,;961.67;;;;;
87,;963.187;;;;;
88,;963.748;;;;;
89,;964.586;;;;;
90,;964.832;;;;;
91,;966.569;;;;;
92,;968.395;;;;;
93,;967.938;;;;;
94,;969.186;;;;;
95,;971.321;;;;;
96,;972.897;;;;;
97,;973.583;;;;;
98,;974.766;;;;;
99,;975.388;;;;;
100,;977.801;;;;;
101,;978.111;;;;;
102,;977.013;;;;;
103,;976.768;;;;;
104,;976.001;;;;;
105,;976.871;;;;;
106,;979.718;;;;;
107,;982.566;;;;;
108,;983.209;;;;;
109,;982.97;;;;;
110,;985.599;;;;;
111,;986.056;;;;;
112,;987.794;;;;;
113,;991.661;;;;;
114,;993.26;;;;;
115,;994.72;;;;;
116,;996.376;;;;;
117,;999.437;;;;;
118,;1000.08;;;;;
119,;998.876;;;;;
120,;999.546;;;;;
121,;1002.02;;;;;
122,;1005.26;;;;;
123,;1008.14;;;;;
124,;1008.99;;;;;
125,;1008.13;;;;;
126,;1007.11;;;;;
127,;1006.6;;;;;
128,;1010.01;;;;;
129,;1015.63;;;;;
130,;1019.57;;;;;
131,;1017.51;;;;;
132,;1015.43;;;;;
133,;1015.32;;;;;
134,;1017.61;;;;;
135,;1019.84;;;;;
136,;1020.72;;;;;
137,;1023.36;;;;;
138,;1023.56;;;;;
139,;1022.18;;;;;
140,;1023.64;;;;;
141,;1026.06;;;;;
142,;1026.75;;;;;
143,;1028.69;;;;;
144,;1031.42;;;;;
145,;1033.31;;;;;
1,;450.574;;;;;
2,;451.247;;;;;
3,;451.15;;;;;
4,;449.929;;;;;
5,;449.028;;;;;
6,;447.435;;;;;
7,;446.484;;;;;
8,;445.589;;;;;
9,;444.614;;;;;
10,;443.946;;;;;
11,;830.417;;;;;
12,;999.704;;;;;
13,;1100.43;;;;;
14,;1160.97;;;;;
15,;1192.92;;;;;
16,;1212.09;;;;;
17,;1225.31;;;;;
18,;1234.16;;;;;
19,;1241.29;;;;;
20,;1254.15;;;;;
21,;1281.28;;;;;
22,;1306.27;;;;;
23,;1322.02;;;;;
24,;1332.87;;;;;
25,;1340.31;;;;;
26,;1347.53;;;;;
27,;1351.51;;;;;
28,;1355.17;;;;;
29,;1358.36;;;;;
30,;1359.79;;;;;
31,;1301.23;;;;;
32,;1087.97;;;;;
33,;1018.01;;;;;
34,;1022.29;;;;;
35,;1060.01;;;;;
36,;1081.91;;;;;
37,;1090.47;;;;;
38,;1093.29;;;;;
39,;1093.07;;;;;
40,;1092.21;;;;;
41,;1093.45;;;;;
42,;1095.78;;;;;
43,;1098.55;;;;;
44,;1102.39;;;;;
45,;1104.93;;;;;
46,;1107.76;;;;;
47,;1109.69;;;;;
48,;1109.61;;;;;
49,;1109.63;;;;;
50,;1109.76;;;;;
51,;1110.18;;;;;
52,;1112.94;;;;;
53,;1120.6;;;;;
54,;1126.51;;;;;
55,;1130.46;;;;;
56,;1135.44;;;;;
57,;1139.34;;;;;
58,;1143.46;;;;;
59,;1147.69;;;;;
60,;1150.57;;;;;
61,;1151.76;;;;;
62,;1151.44;;;;;
63,;1154.17;;;;;
64,;1156.02;;;;;
65,;1157.45;;;;;
66,;1157.43;;;;;
67,;1158.23;;;;;
68,;1159.07;;;;;
69,;1159.94;;;;;
70,;1162.58;;;;;
71,;1165.19;;;;;
72,;1168.66;;;;;
73,;1170.98;;;;;
74,;1168.64;;;;;
75,;1167.52;;;;;
76,;1167.32;;;;;
77,;1166.74;;;;;
78,;1163.51;;;;;
79,;1161.27;;;;;
80,;1159.39;;;;;
81,;1159.61;;;;;
82,;1159.14;;;;;
83,;1158.81;;;;;
84,;1158.07;;;;;
85,;1158.75;;;;;
86,;1160.93;;;;;
87,;1162.29;;;;;
88,;1163.44;;;;;
89,;1163.03;;;;;
90,;1163.08;;;;;
91,;1164.2;;;;;
92,;1165.43;;;;;
93,;1164.27;;;;;
94,;1165.34;;;;;
95,;1167.73;;;;;
96,;1169.01;;;;;
97,;1169.19;;;;;
98,;1170.91;;;;;
99,;1171.86;;;;;
100,;1172.63;;;;;
101,;1172.91;;;;;
102,;1172.64;;;;;
103,;1172.5;;;;;
104,;1172.11;;;;;
105,;1172.73;;;;;
106,;1174.06;;;;;
107,;1175.88;;;;;
108,;1176.2;;;;;
109,;1175.87;;;;;
110,;1178.67;;;;;
111,;1180.23;;;;;
112,;1182.76;;;;;
113,;1186.67;;;;;
114,;1187.83;;;;;
115,;1189.33;;;;;
116,;1190.52;;;;;
117,;1192.77;;;;;
118,;1192.76;;;;;
119,;1192.48;;;;;
120,;1193.52;;;;;
121,;1196.12;;;;;
122,;1198.42;;;;;
123,;1200.95;;;;;
124,;1202.41;;;;;
125,;1201.12;;;;;
126,;1198.92;;;;;
127,;1198.5;;;;;
128,;1201.53;;;;;
129,;1205.9;;;;;
130,;1207.58;;;;;
131,;1205.9;;;;;
132,;1204.36;;;;;
133,;1205.26;;;;;
134,;1207.68;;;;;
135,;1209.94;;;;;
136,;1211.29;;;;;
137,;1213.4;;;;;
138,;1214.02;;;;;
139,;1213.77;;;;;
140,;1215.52;;;;;
141,;1217.28;;;;;
142,;1217.95;;;;;
143,;1219.56;;;;;
144,;1221.95;;;;;
145,;1223.22;;;;;
1,;410.594;;;;;
2,;410.682;;;;;
3,;410.101;;;;;
4,;409.185;;;;;
5,;408.324;;;;;
6,;406.78;;;;;
7,;405.817;;;;;
8,;405.135;;;;;
9,;404.177;;;;;
10,;403.336;;;;;
11,;768.192;;;;;
12,;927.01;;;;;
13,;1019.74;;;;;
14,;1074.01;;;;;
15,;1104.31;;;;;
