timepoint(minutes) well1 well2 well3 well4 well5 well6
490 4.3874 2.69179 1.82253 0.0602219 2.49876 2.44407
495 4.34518 2.65838 1.81481 0.0582578 2.49649 2.44028
500 4.3269 2.6541 1.812 0.061674 2.50006 2.4384
505 4.33717 2.66927 1.81471 0.0599657 2.49672 2.44581
510 4.35345 2.67266 1.81611 0.0605635 2.47371 2.4371
515 4.35721 2.68329 1.82002 0.0623575 2.49412 2.46898
520 4.32687 2.67124 1.8138 0.0626139 2.49323 2.48094
525 4.28717 2.63195 1.80048 0.054332 2.46463 2.45837
530 4.26187 2.59288 1.7823 0.0499829 2.45432 2.46401
535 4.25229 2.58409 1.77911 0.0503238 2.4529 2.48023
540 4.26848 2.58735 1.7824 0.0519438 2.4582 2.49776
545 4.25472 2.55151 1.75455 0.0441045 2.4116 2.46105
550 4.24533 2.5453 1.73908 0.0444451 2.41676 2.47059
555 4.22906 2.52174 1.71409 0.034832 2.37148 2.42688
560 4.20173 2.4696 1.67568 0.0281219 2.32988 2.41208
565 4.17723 2.44816 1.66433 0.0278672 2.34782 2.43779
570 4.16247 2.42864 1.64969 0.0226074 2.32274 2.41613
575 4.16386 2.40657 1.6381 0.0234554 2.32068 2.43705
580 4.15526 2.36598 1.61625 0.0187931 2.28768 2.40108
585 4.13232 2.35748 1.61635 0.0177764 2.29178 2.42967
590 4.1247 2.3734 1.61906 0.0161671 2.28904 2.42438
595 4.09315 2.36454 1.60899 0.0154897 2.2915 2.44694
600 4.05716 2.33191 1.58387 0.0112575 2.28986 2.45196
605 4.02798 2.28943 1.56175 0.00736703 2.30436 2.45695
610 4.02752 2.2519 1.53751 0.000354594 2.2566 2.38405
615 4.03494 2.24086 1.52356 -0.0083344 2.21376 2.38631
620 4.02852 2.25203 1.53588 -0.00276837 2.26912 2.47354
625 4.0314 2.2653 1.55695 0.00263471 2.30546 2.47621
630 4.01501 2.27194 1.56098 0.00381738 2.29902 2.4649
635 3.97991 2.22765 1.53196 0.00331049 2.26354 2.44659
640 3.93398 2.15529 1.49038 -0.00268399 2.21524 2.40744
645 3.90309 2.10504 1.47447 -0.00706992 2.21957 2.43161
650 3.90209 2.13126 1.49038 -0.00158693 2.29273 2.50161
655 3.91452 2.15785 1.505 0.000523457 2.31039 2.5091
660 3.91651 2.15926 1.49645 -0.00293713 2.27253 2.45804
665 3.90153 2.12999 1.47352 -0.00867154 2.23406 2.44095
670 3.89161 2.10161 1.45219 -0.0097671 2.24125 2.45439
675 3.87301 2.09044 1.43949 -0.0088401 2.21214 2.43748
680 3.81446 2.05706 1.4197 -0.019869 2.16568 2.4128
685 3.79925 2.05454 1.41389 -0.0202895 2.17844 2.44025
690 3.79703 2.07196 1.41623 -0.0194485 2.19823 2.43448
695 3.77366 2.05353 1.39988 -0.0255847 2.15884 2.39997
700 3.75011 2.0231 1.38347 -0.0295316 2.15589 2.43022
705 3.7243 2.01445 1.37724 -0.0274325 2.18059 2.45847
710 3.69335 1.99019 1.3623 -0.0276005 2.18772 2.47795
715 3.66204 1.95621 1.34018 -0.0307066 2.18328 2.47596
720 3.63235 1.93279 1.32847 -0.0332237 2.18355 2.47069
