Calibrations:
"X:", 2, "Y:", 2, "Units:", "pixel", "Gray Units:", ""
"Image Plane", "Average Intensity"
116, 1450.1
117, 1451.22
118, 1451.94
119, 1451.59
120, 1451.43
121, 1451.68
122, 1452.43
123, 1453.28
124, 1453.87
125, 1453.26
126, 1453.18
127, 1452.56
128, 1452.74
129, 1452.86
130, 1454.29
131, 1456.23
132, 1459.6
133, 1462.97
134, 1465.65
135, 1468.26
136, 1468.47
137, 1469.89
138, 1472.27
139, 1474.12
140, 1475.3
141, 1475.74
142, 1476.21
143, 1477.92
144, 1479.28
145, 1481.16
1, 388.293
2, 386.118
3, 385.248
4, 384.54
5, 389.767
6, 377.288
7, 376.218
8, 375.666
9, 375.057
10, 374.682
11, 374.526
12, 727.152
13, 893.002
14, 994.561
15, 1056.77
16, 1094.99
17, 1114.09
18, 1142.85
19, 1161.4
20, 1150.92
21, 1133.99
22, 1122.03
23, 1097.64
24, 1102.34
25, 1107.49
26, 1121.7
27, 1136.58
28, 1148.7
29, 1159.49
30, 1167.21
31, 1172.06
32, 1175.45
33, 1179.91
34, 1184.14
35, 1188.33
36, 1192.48
37, 1196.21
38, 1200.74
39, 1206.32
40, 1209.7
41, 1211.4
42, 1212.95
43, 1214.58
44, 1216.24
45, 1217.17
46, 1217.21
47, 1217.84
48, 1219.05
49, 1219.75
50, 1220.38
51, 1220.69
52, 1221.34
53, 1222.36
54, 1223.25
55, 1225.7
56, 1228.32
57, 1229.4
58, 1230.03
59, 1230
60, 1229.39
61, 1229.63
62, 1230.63
63, 1230.65
64, 1230.04
65, 1230.36
66, 1230.83
67, 1229.89
68, 1229.55
69, 1230.03
70, 1231.98
71, 1234.36
72, 1236.4
73, 1237.12
74, 1236.82
75, 1237.4
76, 1239.46
77, 1242.25
78, 1245.57
79, 1248.47
80, 1251.03
81, 1253.63
82, 1255.06
83, 1254.88
84, 1254.5
85, 1254.74
86, 1256.9
87, 1259.15
88, 1260.18
89, 1260.87
90, 1261.23
91, 1262.56
92, 1263.77
93, 1264.12
94, 1263.11
95, 1262.39
96, 1262.28
97, 1263.07
98, 1264.09
99, 1265.21
100, 1266.55
101, 1267.42
102, 1268.37
103, 1268.96
104, 1268.69
105, 1268.85
106, 1269.88
107, 1271.95
108, 1273.88
109, 1274.82
110, 1275.74
111, 1275.15
112, 1274.87
113, 1275.05
114, 1275.54
115, 1276.29
116, 1276.79
117, 1278.01
118, 1278.19
119, 1277.57
120, 1277.28
121, 1277.69
122, 1278.46
123, 1279.52
124, 1280.32
125, 1280.35
126, 1279.64
127, 1278.5
128, 1279.35
129, 1279.55
130, 1280.94
131, 1283.49
132, 1287.4
133, 1291.17
134, 1295.1
135, 1297.62
136, 1298.13
137, 1299.51
138, 1301.93
139, 1303.59
140, 1304.97
141, 1305.25
142, 1305.61
143, 1307.23
144, 1308.53
145, 1309.83
1, 407.478
2, 405.656
3, 405.111
4, 404.805
5, 409.761
6, 396.459
7, 395.527
8, 394.704
9, 393.967
10, 393.498
11, 393.546
12, 784.097
13, 939.813
14, 1017.76
15, 1058.01
16, 1072.25
17, 1084.72
18, 1040.23
19, 943.759
20, 880.994
21, 874.868
22, 887.646
23, 957.633
24, 1017.45
25, 1068.87
26, 1113.58
27, 1151.49
28, 1180.62
29, 1197.98
30, 1198.89
31, 1186.98
32, 1166.74
33, 1145.87
34, 1129.3
35, 1119.09
36, 1113.46
37, 1111.28
38, 1113.82
39, 1122.01
40, 1126.93
41, 1126.69
42, 1125.52
43, 1124.56
44, 1127.11
45, 1126.35
46, 1122.97
47, 1121.91
48, 1123.27
49, 1124.19
50, 1125.16
51, 1125.68
52, 1128.27
53, 1130.83
54, 1134.04
55, 1141.04
56, 1147.57
57, 1149.72
58, 1149.03
59, 1146.78
60, 1144.22
61, 1142.02
62, 1140.82
63, 1138.33
64, 1135.05
65, 1133.67
66, 1133.78
67, 1130.05
68, 1128.4
69, 1128.26
70, 1129.54
71, 1131.28
72, 1133.18
73, 1134.28
74, 1133.71
75, 1134.76
76, 1140.13
77, 1148.31
78, 1155.28
79, 1161.59
80, 1168.6
81, 1173.69
82, 1175.55
83, 1172.79
84, 1170.49
85, 1171.72
86, 1177.24
87, 1183.58
88, 1186.53
89, 1186.89
90, 1188.23
91, 1192.41
92, 1196.76
93, 1195.34
94, 1189.03
95, 1184.68
96, 1184.96
97, 1186.24
98, 1189.63
99, 1194.68
100, 1200.7
101, 1205.74
102, 1208.92
103, 1208.77
104, 1207.11
105, 1206.1
106, 1209.96
107, 1217.73
108, 1224.84
109, 1230.4
110, 1233.19
111, 1230.44
112, 1226.37
113, 1226.51
114, 1229.93
115, 1233.6
116, 1236.89
117, 1240.68
118, 1239.11
119, 1232.28
120, 1230.01
121, 1231.49
122, 1234.11
123, 1238.76
124, 1242.45
125, 1239.87
126, 1233.62
127, 1230.07
128, 1232.3
129, 1234.23
130, 1237.29
131, 1244.49
132, 1255.08
133, 1268.95
134, 1282.16
135, 1288.28
136, 1287.1
137, 1290.01
138, 1296.54
139, 1303.23
140, 1304.03
141, 1300.18
142, 1299.71
143, 1304.98
144, 1310.75
145, 1311.61
1, 353.364
