Calibrations:
"X:", 2, "Y:", 2, "Units:", "pixel", "Gray Units:", ""
"Image Plane", "Average Intensity"
46, 1210.1
47, 1209.57
48, 1207.16
49, 1203.86
50, 1196.19
51, 1185.01
52, 1177.36
53, 1173.87
54, 1172.24
55, 1172.38
56, 1172.24
57, 1172.89
58, 1175.37
59, 1180.41
60, 1185.77
61, 1190.21
62, 1192.83
63, 1194.77
64, 1196.98
65, 1198.3
66, 1199.72
67, 1200.88
68, 1202.03
69, 1202.95
70, 1203.19
71, 1203.32
72, 1204.78
73, 1205.39
74, 1204.99
75, 1204.93
76, 1205.8
77, 1208.47
78, 1209.77
79, 1210.22
80, 1210.58
81, 1211.48
82, 1212.22
83, 1212.16
84, 1213.73
85, 1215.1
86, 1216.53
87, 1216.2
88, 1215.49
89, 1215.28
90, 1215.79
91, 1215.79
92, 1216.29
93, 1216.64
94, 1216.26
95, 1216.46
96, 1216.49
97, 1216.18
98, 1215.96
99, 1216.59
100, 1218.14
101, 1219.91
102, 1222.27
103, 1223.37
104, 1223.57
105, 1223.91
106, 1225.04
107, 1226.48
108, 1226.56
109, 1225.42
110, 1224.91
111, 1224.82
112, 1225.14
113, 1225.91
114, 1225.12
115, 1223.18
116, 1220.51
117, 1218.3
118, 1219.07
119, 1220.47
120, 1221.78
121, 1222.99
122, 1223.33
123, 1223.87
124, 1223.68
125, 1224.85
126, 1227.4
127, 1228.37
128, 1228.45
129, 1228.03
130, 1228.49
131, 1228.99
132, 1230.72
133, 1232.83
134, 1233.94
135, 1233.8
136, 1233.93
137, 1234.47
138, 1235.79
139, 1237.01
140, 1237.72
141, 1238.59
142, 1238.96
143, 1238.89
144, 1240.33
145, 1241.03
1, 447.868
2, 446.758
3, 445.851
4, 445.022
5, 444.606
6, 443.122
7, 442.362
8, 441.629
9, 440.85
10, 440.473
11, 827.368
12, 1003.98
13, 1098.86
14, 1153.91
15, 1195.36
16, 1227.24
17, 1253.67
18, 1271.78
19, 1284.8
20, 1293.89
21, 1301.2
22, 1306.7
23, 1311.59
24, 1314.84
25, 1317.88
26, 1320.36
27, 1323.67
28, 1326.28
29, 1327.24
30, 1319.59
31, 1261.72
32, 1188.54
33, 1146.42
34, 1198.78
35, 1277.43
36, 1313.16
37, 1302.42
38, 1275.34
39, 1272.94
40, 1285.82
41, 1296.24
42, 1303.95
43, 1309.63
44, 1314.75
45, 1317.51
46, 1320.04
47, 1322.05
48, 1323.18
49, 1324.88
50, 1326.08
51, 1326.67
52, 1328.08
53, 1329.11
54, 1330.69
55, 1332.22
56, 1333.3
57, 1334.03
58, 1334.54
59, 1334.75
60, 1335.4
61, 1335.65
62, 1335.28
63, 1334.56
64, 1335.29
65, 1335.09
66, 1335.62
67, 1336.2
68, 1336.81
69, 1337.52
70, 1337.04
71, 1336.99
72, 1338.29
73, 1338.22
74, 1337.45
75, 1337.16
76, 1338.25
77, 1341.48
78, 1343.27
79, 1344.23
80, 1344.64
81, 1345.1
82, 1345.8
83, 1345.61
84, 1346.85
85, 1347.83
86, 1349.18
87, 1348.75
88, 1347.84
89, 1347.26
90, 1347.26
91, 1347.3
92, 1347.72
93, 1348.17
94, 1348.42
95, 1348.19
96, 1347.46
97, 1346.48
98, 1345.04
99, 1345.1
100, 1346.98
101, 1349.46
102, 1352.34
103, 1354.29
104, 1354.92
105, 1355.45
106, 1356.44
107, 1358.08
108, 1358.04
109, 1356.62
110, 1354.84
111, 1353.3
112, 1352.96
113, 1352.55
114, 1350.96
115, 1347.49
116, 1344.74
117, 1342.12
118, 1342.59
119, 1342.86
120, 1344.13
121, 1345.14
122, 1346.1
123, 1346.19
124, 1346.17
125, 1347.76
126, 1350.91
127, 1352.56
128, 1353.04
129, 1352.85
130, 1353.12
131, 1353.73
132, 1355.4
133, 1358.78
134, 1360.61
135, 1360.64
136, 1360.85
137, 1361.4
138, 1362.44
139, 1363.66
140, 1364.76
141, 1365.71
142, 1365.88
143, 1366
144, 1367.17
145, 1367.73
1, 404.244
2, 402.545
3, 401.337
4, 400.593
5, 399.969
6, 398.353
7, 397.467
8, 396.779
9, 396.031
10, 395.464
11, 737.724
12, 899.794
13, 997.992
14, 1059.01
15, 1097.84
16, 1124.48
17, 1142.99
18, 1156.42
19, 1166.24
20, 1173.62
21, 1179.59
22, 1183.8
23, 1188
24, 1191.59
25, 1194.64
26, 1197.8
27, 1200.53
28, 1202.81
29, 1204.17
30, 1205.27
31, 1206.13
32, 1208.1
33, 1206.69
34, 1211.95
35, 1212.79
36, 1212.94
37, 1213.98
38, 1214.91
39, 1215.91
40, 1216.51
41, 1216.76
42, 1217.06
43, 1217.31
44, 1217.11
45, 1215.78
46, 1214.99
47, 1215.03
48, 1214.51
49, 1214.51
50, 1214.62
51, 1214.53
52, 1214.78
53, 1214.83
54, 1214.87
55, 1215.01
56, 1215.23
57, 1215.46
58, 1216.01
59, 1216.69
60, 1216.72
61, 1216.81
62, 1217.07
63, 1217.16
64, 1217.99
65, 1218.2
66, 1218.68
67, 1218.94
68, 1219.35
69, 1219.53
70, 1219.6
71, 1220.11
72, 1221.32
73, 1221.74
74, 1221.71
75, 1221.84
76, 1222.3
77, 1223.45
78, 1223.97
79, 1224.32
80, 1223.71
81, 1224.27
82, 1224.55
83, 1224.67
84, 1225.1
85, 1225.47
86, 1226.34
87, 1225.81
88, 1225.79
89, 1226.14
90, 1226.54
91, 1226.69
92, 1227.27
93, 1227.49
94, 1227.86
95, 1227.83
96, 1227.81
97, 1227.6
98, 1227.42
99, 1227.94
100, 1228.76
101, 1229.84
102, 1230.88
103, 1231.33
104, 1231.5
105, 1231.79
106, 1231.94
107, 1232.71
108, 1231.93
109, 1231.77
110, 1231.15
111, 1230.94
112, 1231.04
113, 1231.12
114, 1230.83
115, 1229.64
116, 1228.92
117, 1228.49
118, 1228.58
119, 1228.64
120, 1229.38
121, 1230.18
122, 1230.42
123, 1230.25
124, 1230.69
125, 1231.97
126, 1233.12
127, 1233.56
128, 1233.93
129, 1233.96
130, 1234.67
131, 1235.55
132, 1237.05
133, 1238.28
134, 1238.91
135, 1239.07
136, 1238.92
137, 1239.41
138, 1240.3
139, 1241.05
140, 1241.61
141, 1241.99
142, 1242.17
143, 1242.2
144, 1242.75
145, 1243.08
1, 421.011
2, 419.694
3, 418.553
4, 417.748
5, 417.313
6, 415.672
7, 414.808
8, 414.039
9, 413.447
10, 412.959
11, 796.058
12, 957.087
13, 1050.5
14, 1104.62
15, 1135.18
16, 1149.3
17, 1151.01
18, 1149.91
19, 1141.42
20, 1131.16
21, 1127.74
22, 1128.13
23, 1132.19
24, 1142.44
25, 1147.15
26, 1150.24
27, 1152.95
28, 1152.76
29, 1150.67
30, 1149.67
31, 1153.62
32, 1147.06
33, 1137.11
34, 1182.62
35, 1217.79
36, 1161.58
37, 1125.11
38, 1111.49
39, 1162
40, 1213.41
41, 1235.7
42, 1242.65
43, 1243.34
44, 1240.14
45, 1235.35
46, 1230.83
47, 1228.35
48, 1226.3
49, 1225.37
50, 1224.27
51, 1222.74
52, 1222.61
53, 1221.24
54, 1219.62
55, 1218.19
56, 1216.79
57, 1215.65
58, 1216.39
59, 1216.76
60, 1215.8
61, 1214.5
62, 1212.99
63, 1211.15
64, 1212.06
65, 1212.65
66, 1213.39
67, 1213.53
68, 1213.13
69, 1212.25
70, 1211.6
71, 1212.84
72, 1214.17
73, 1214.5
74, 1213.96
75, 1213.43
76, 1215.48
77, 1218.05
78, 1218.39
79, 1217.69
80, 1215.95
81, 1215.84
82, 1216.22
83, 1216.66
84, 1216.74
85, 1217.49
86, 1219.32
87, 1217.65
88, 1215.77
89, 1216.56
90, 1217.9
91, 1218.7
92, 1220.21
93, 1220.65
94, 1220.26
95, 1219.12
96, 1217.58
97, 1216.74
98, 1214.88
99, 1216.21
100, 1218.69
101, 1221.57
102, 1225.06
103, 1226.53
104, 1226.42
105, 1225.91
106, 1225.91
107, 1225.4
108, 1222.68
109, 1219.68
110, 1217.51
111, 1215.59
112, 1213.57
113, 1213.06
114, 1212.74
115, 1211.33
116, 1209.38
117, 1208.14
118, 1208.87
119, 1208.94
120, 1210.85
121, 1212.44
122, 1212.28
123, 1212.07
124, 1213.05
125, 1214.73
126, 1216.6
127, 1217.49
128, 1217.13
129, 1217.53
130, 1218.84
131, 1219.54
132, 1221.37
133, 1222.66
134, 1221.85
135, 1221.82
136, 1221.28
137, 1221.39
138, 1223.65
139, 1225.73
140, 1227.52
141, 1227.59
142, 1226.62
143, 1226.72
144, 1228.08
145, 1228.76
1, 369.6
2, 368.939
3, 368.182
4, 366.925
5, 365.572
6, 363.806
7, 362.583
8, 361.686
9, 361.086
10, 360.595
11, 685.904
12, 768.259
13, 774.806
14, 774.639
15, 774.886
16, 776.737
17, 778.58
18, 780.188
19, 779.16
20, 779.098
21, 782.131
22, 782.419
23, 780.998
24, 775.54
25, 774.851
26, 773.925
27, 769.028
28, 769.726
29, 768.842
30, 768.803
31, 768.077
32, 766.783
33, 767.364
34, 765.054
35, 765.562
36, 767.494
37, 769.608
38, 773.711
39, 812.144
40, 842.77
41, 853.895
42, 856.152
43, 855.856
44, 851.841
45, 851.077
46, 852.22
47, 853.991
48, 853.712
49, 853.452
50, 853.451
51, 854.172
52, 854.57
53, 853.395
54, 852.134
55, 850.023
56, 850.459
57, 850.456
58, 851.971
59, 853.979
60, 852.041
61, 851.228
62, 851.253
63, 850.249
64, 853.425
65, 854.05
66, 854.191
67, 854.572
68, 855.403
69, 853.48
70, 853.456
71, 856.575
72, 858.088
73, 857.249
74, 856.671
75, 856.303
76, 860.043
77, 860.488
78, 858.294
79, 856.006
80, 855.877
81, 857.498
82, 859.154
83, 859.175
84, 860.518
85, 863.887
86, 866.014
87, 860.991
88, 861.427
89, 865.476
90, 865.689
91, 865.135
